ticker,days,Begin,End
IBM,62.0,2022-08-15,2022-11-09
IBM,61.0,2022-08-16,2022-11-09
IBM,57.0,2022-08-17,2022-11-04
IBM,60.0,2022-08-17,2022-11-09
IBM,56.0,2022-08-22,2022-11-08
